sku,data,realized,is_imputed,lgbm_fitted,cb_fitted,lgbm_forecast,cb_forecast
1,2024-01-16,13.0,False,12.639082200996386,12.350461028517763,,
1,2024-01-17,17.0,False,14.669290065473447,14.887316364775584,,
1,2024-01-18,18.0,False,16.657863599736597,16.57783738410531,,
1,2024-01-19,16.0,False,18.0945343666286,18.634640157040945,,
1,2024-01-20,29.0,False,21.611324462877278,21.619996392058454,,
1,2024-01-21,14.0,False,21.78490452287297,20.01674455242381,,
1,2024-01-22,0.0,True,0.6592822838617408,1.2892922897880723,,
1,2024-01-23,0.0,True,0.17915660858868196,0.4959176870361546,,
1,2024-01-24,0.0,True,0.054874098131512165,0.3447150821318221,,
1,2024-01-25,13.0,False,13.92296696186674,14.556188625842925,,
1,2024-01-26,14.0,False,14.73396041762132,15.051652512761171,,
1,2024-01-27,16.0,False,20.19010309714049,19.71820771123775,,
1,2024-01-28,0.0,True,0.06442960618332336,0.45965897973709424,,
1,2024-01-29,11.0,False,12.796502460215018,12.72956956726365,,
1,2024-01-30,0.0,True,0.010754553066397731,-0.08835484768042079,,
1,2024-01-31,11.0,False,12.779934426700317,12.951410625921337,,
1,2024-02-01,13.0,False,13.468792402646855,13.41206270314933,,
1,2024-02-02,10.0,False,14.150750329776043,14.06684107511894,,
1,2024-02-03,12.0,False,15.28726726939491,16.186035310347076,,
1,2024-02-04,16.0,False,12.88469505571619,12.251771046927853,,
1,2024-02-05,12.0,False,14.16021090600059,13.826023517471404,,
1,2024-02-06,19.0,False,13.460080990662707,13.446787049999019,,
1,2024-02-07,13.0,False,16.711391522556617,16.166249095455903,,
1,2024-02-08,11.0,False,14.953010264880195,14.937415963560182,,
1,2024-02-09,10.0,False,14.86256010795687,15.10343747391488,,
1,2024-02-10,20.0,False,17.177002097342736,18.339303776977285,,
1,2024-02-11,0.0,True,0.04536113477812931,1.7607133703734803,,
1,2024-02-12,16.0,False,13.39771950715995,13.267847309743566,,
1,2024-02-13,15.0,False,14.786863378406712,14.855624204334061,,
1,2024-02-14,13.0,False,14.53569408561994,14.514681953459434,,
1,2024-02-15,0.0,True,0.0802692694721156,0.28794075097382965,,
1,2024-02-16,24.0,False,14.13517205582933,14.671253615911075,,
1,2024-02-17,30.0,False,24.347852994607635,24.861492425665162,,
1,2024-02-18,19.0,False,18.76208258585397,17.23885266506875,,
1,2024-02-19,14.0,False,15.632193093572413,15.487128964422219,,
1,2024-02-20,18.0,False,15.153699502498043,14.609549423599878,,
1,2024-02-21,10.0,False,16.421444460526196,16.526030739720838,,
1,2024-02-22,0.0,True,0.38149468856503865,0.4366382235727304,,
1,2024-02-23,17.0,False,17.97621213658388,16.295772374414376,,
1,2024-02-24,29.0,False,25.2994520554101,24.629242853856738,,
1,2024-02-25,17.0,False,18.06601082575351,18.457279794015683,,
1,2024-02-26,23.0,False,15.338448732756458,14.925064172942644,,
1,2024-02-27,12.0,False,17.06165202251823,17.6520812351096,,
1,2024-02-28,10.0,False,14.894009665356148,15.167166265897666,,
1,2024-02-29,19.0,False,15.47020157929321,15.983433037700763,,
1,2024-03-01,22.0,False,18.962743172687606,18.978769405608514,,
1,2024-03-02,37.0,False,33.499413458726565,30.82164755879443,,
1,2024-03-03,22.0,False,19.971584855427153,20.121344340943406,,
1,2024-03-04,26.0,False,17.704788902196377,17.265086612320438,,
1,2024-03-05,14.0,False,18.628018003379047,19.23201733083898,,
1,2024-03-06,23.0,False,17.944971934345894,17.273801665175732,,
1,2024-03-07,17.0,False,23.463855914844217,21.95903413692182,,
1,2024-03-08,36.0,False,22.27214731168732,21.695923402856433,,
1,2024-03-09,52.0,False,46.18332787137522,42.57835156629167,,
1,2024-03-10,30.0,False,28.796484126303966,28.694493465164584,,
1,2024-03-11,23.0,False,21.86166673426636,23.510012699040423,,
1,2024-03-12,16.0,False,22.099717223534636,22.83525775488667,,
1,2024-03-13,19.0,False,21.75176558001138,21.678857514125006,,
1,2024-03-14,22.0,False,22.380887024233814,22.357695032780494,,
1,2024-03-15,22.0,False,26.68847210553751,27.507344849833554,,
1,2024-03-16,29.0,False,44.16837355627458,41.908724712706984,,
1,2024-03-17,20.0,False,19.79049149891677,20.62733077170175,,
1,2024-03-18,22.0,False,17.859739681226447,18.2750187938153,,
1,2024-03-19,27.0,False,18.41581979404416,18.793823715433412,,
1,2024-03-20,23.0,False,22.355079034644003,21.62504521382093,,
1,2024-03-21,23.0,False,21.797532715251126,22.142666931544078,,
1,2024-03-22,21.0,False,23.796065042453506,24.00843286061192,,
1,2024-03-23,36.0,False,35.6652460014925,34.59837912873179,,
1,2024-03-24,27.0,False,20.81383055328113,21.974618120584864,,
1,2024-03-25,12.0,False,20.065386445743865,20.31154199800543,,
1,2024-03-26,17.0,False,19.105964543194116,17.67138485886148,,
1,2024-03-27,0.0,True,-0.2803529505827407,3.7822491619914054,,
1,2024-03-28,17.0,False,16.54075477218008,17.21592834500278,,
1,2024-03-29,19.0,False,19.326513619320597,19.86717952555311,,
1,2024-03-30,46.0,False,33.18628607440384,32.829945463988736,,
1,2024-03-31,0.0,True,11.147897637214756,5.198429535754572,,
1,2024-04-01,14.0,False,13.896205393248556,14.553263282004437,,
1,2024-04-02,18.0,False,15.372336626642493,15.621138261447468,,
1,2024-04-03,10.0,False,17.032849878415416,17.374870611351078,,
1,2024-04-04,19.0,False,15.744569027901829,15.997306626323484,,
1,2024-04-05,18.0,False,22.184432111922828,19.73328828618401,,
1,2024-04-06,36.0,False,31.781991191916823,35.86800822684556,,
1,2024-04-07,24.0,False,19.28899843420179,19.108904026619264,,
1,2024-04-08,25.0,False,17.79798325774234,18.015088620153936,,
1,2024-04-09,,,,,17.79798325774234,18.015088620153936
1,2024-04-10,,,,,17.79798325774234,18.015088620153936
1,2024-04-11,,,,,17.79798325774234,18.015088620153936
1,2024-04-12,,,,,17.79798325774234,18.015088620153936
1,2024-04-13,,,,,17.79798325774234,18.015088620153936
1,2024-04-14,,,,,17.79798325774234,18.015088620153936
1,2024-04-15,,,,,17.79798325774234,18.015088620153936
